NAME,year,state,place,age group,frequency
"Blacksburg town, Virginia",2011,Virginia,7784,Female|private college/graduate school|>= 35,23
"Blacksburg town, Virginia",2011,Virginia,7784,Female|None|All,6236
"Blacksburg town, Virginia",2011,Virginia,7784,Female|None|15 - 17,225
"Blacksburg town, Virginia",2011,Virginia,7784,Female|None|18 - 24,861
"Blacksburg town, Virginia",2011,Virginia,7784,Female|None|25 - 34,1038
"Blacksburg town, Virginia",2011,Virginia,7784,Female|None|>= 35,4112
"Blacksburg town, Virginia",2012,Virginia,7784,All|All|All,39208
"Blacksburg town, Virginia",2012,Virginia,7784,Male|All|All,22127
"Blacksburg town, Virginia",2012,Virginia,7784,Male|public college/graduate school|All,15505
"Blacksburg town, Virginia",2012,Virginia,7784,Male|public college/graduate school|15 - 17,84
"Blacksburg town, Virginia",2012,Virginia,7784,Male|public college/graduate school|18 - 24,13524
"Blacksburg town, Virginia",2012,Virginia,7784,Male|public college/graduate school|25 - 34,1569
"Blacksburg town, Virginia",2012,Virginia,7784,Male|public college/graduate school|>= 35,328
"Blacksburg town, Virginia",2012,Virginia,7784,Male|private college/graduate school|All,270
"Blacksburg town, Virginia",2012,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2012,Virginia,7784,Male|private college/graduate school|18 - 24,171
"Blacksburg town, Virginia",2012,Virginia,7784,Male|private college/graduate school|25 - 34,62
"Blacksburg town, Virginia",2012,Virginia,7784,Male|private college/graduate school|>= 35,37
"Blacksburg town, Virginia",2012,Virginia,7784,Male|None|All,6352
"Blacksburg town, Virginia",2012,Virginia,7784,Male|None|15 - 17,325
"Blacksburg town, Virginia",2012,Virginia,7784,Male|None|18 - 24,604
"Blacksburg town, Virginia",2012,Virginia,7784,Male|None|25 - 34,1554
"Blacksburg town, Virginia",2012,Virginia,7784,Male|None|>= 35,3869
"Blacksburg town, Virginia",2012,Virginia,7784,Female|All|All,17081
"Blacksburg town, Virginia",2012,Virginia,7784,Female|public college/graduate school|All,10498
"Blacksburg town, Virginia",2012,Virginia,7784,Female|public college/graduate school|15 - 17,58
"Blacksburg town, Virginia",2012,Virginia,7784,Female|public college/graduate school|18 - 24,9387
"Blacksburg town, Virginia",2012,Virginia,7784,Female|public college/graduate school|25 - 34,856
"Blacksburg town, Virginia",2012,Virginia,7784,Female|public college/graduate school|>= 35,197
"Blacksburg town, Virginia",2012,Virginia,7784,Female|private college/graduate school|All,184
"Blacksburg town, Virginia",2012,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2012,Virginia,7784,Female|private college/graduate school|18 - 24,146
"Blacksburg town, Virginia",2012,Virginia,7784,Female|private college/graduate school|25 - 34,29
"Blacksburg town, Virginia",2012,Virginia,7784,Female|private college/graduate school|>= 35,9
"Blacksburg town, Virginia",2012,Virginia,7784,Female|None|All,6399
"Blacksburg town, Virginia",2012,Virginia,7784,Female|None|15 - 17,244
"Blacksburg town, Virginia",2012,Virginia,7784,Female|None|18 - 24,1036
"Blacksburg town, Virginia",2012,Virginia,7784,Female|None|25 - 34,1094
"Blacksburg town, Virginia",2012,Virginia,7784,Female|None|>= 35,4025
"Blacksburg town, Virginia",2013,Virginia,7784,All|All|All,39670
"Blacksburg town, Virginia",2013,Virginia,7784,Male|All|All,22193
"Blacksburg town, Virginia",2013,Virginia,7784,Male|public college/graduate school|All,14797
"Blacksburg town, Virginia",2013,Virginia,7784,Male|public college/graduate school|15 - 17,56
"Blacksburg town, Virginia",2013,Virginia,7784,Male|public college/graduate school|18 - 24,12763
"Blacksburg town, Virginia",2013,Virginia,7784,Male|public college/graduate school|25 - 34,1594
"Blacksburg town, Virginia",2013,Virginia,7784,Male|public college/graduate school|>= 35,384
"Blacksburg town, Virginia",2013,Virginia,7784,Male|private college/graduate school|All,446
"Blacksburg town, Virginia",2013,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2013,Virginia,7784,Male|private college/graduate school|18 - 24,334
"Blacksburg town, Virginia",2013,Virginia,7784,Male|private college/graduate school|25 - 34,78
"Blacksburg town, Virginia",2013,Virginia,7784,Male|private college/graduate school|>= 35,34
"Blacksburg town, Virginia",2013,Virginia,7784,Male|None|All,6950
"Blacksburg town, Virginia",2013,Virginia,7784,Male|None|15 - 17,384
"Blacksburg town, Virginia",2013,Virginia,7784,Male|None|18 - 24,863
"Blacksburg town, Virginia",2013,Virginia,7784,Male|None|25 - 34,1545
"Blacksburg town, Virginia",2013,Virginia,7784,Male|None|>= 35,4158
"Blacksburg town, Virginia",2013,Virginia,7784,Female|All|All,17477
"Blacksburg town, Virginia",2013,Virginia,7784,Female|public college/graduate school|All,10855
"Blacksburg town, Virginia",2013,Virginia,7784,Female|public college/graduate school|15 - 17,55
"Blacksburg town, Virginia",2013,Virginia,7784,Female|public college/graduate school|18 - 24,9867
"Blacksburg town, Virginia",2013,Virginia,7784,Female|public college/graduate school|25 - 34,774
"Blacksburg town, Virginia",2013,Virginia,7784,Female|public college/graduate school|>= 35,159
"Blacksburg town, Virginia",2013,Virginia,7784,Female|private college/graduate school|All,163
"Blacksburg town, Virginia",2013,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2013,Virginia,7784,Female|private college/graduate school|18 - 24,105
